,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
208,1741,5/11/2021 8:34,2021-05-11 8:17:00,11,FALSE,Truman,Fremont,1,Middle Eastern or South Asian,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-05-11 8:17:00,1,
209,1744,5/11/2021 10:20,2021-05-11 10:15:00,5,FALSE,Covington,,1,White,,FALSE,16,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,38mph in 25mph zone,Warning (verbal or written),2021-05-11 10:15:00,1,
210,1745,5/11/2021 11:05,2021-05-11 10:50:00,10,FALSE,El Monte,Foothill Expressway,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61mph in a 35mph construction zone,Citation for infraction; Citation for infraction,2021-05-11 10:50:00,1,
211,1750,5/12/2021 7:34,2021-05-11 10:11:00,8,FALSE,Foothill Expwy,Springer Rd,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61mph in a 45,Citation for infraction,2021-05-11 10:11:00,1,
212,1751,5/12/2021 7:36,2021-05-11 10:30:00,8,FALSE,Foothill Expwy,Springer Rd,1,Hispanic/Latino(a),,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63mph in a 45,Citation for infraction,2021-05-11 10:30:00,1,
213,1755,5/12/2021 13:33,2021-05-12 13:20:00,8,FALSE,Covington Rd,,1,White,,FALSE,18,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,42mph in 25mph zone,Citation for infraction,2021-05-12 13:20:00,1,
214,1756,5/12/2021 14:01,2021-05-12 13:45:00,10,FALSE,Covington,,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40mph in 25mph zone,Citation for infraction; Citation for infraction,2021-05-12 13:45:00,1,
215,1760,5/13/2021 7:16,2021-05-12 9:43:00,30,FALSE,Grant Rd,Foothill Expwy,1,Hispanic/Latino(a),,TRUE,50,Male,No,FALSE,,Person removed from vehicle by order,,,,,Traffic Violation,Moving Violation,64mph in a 45,In-field cite and release; In-field cite and release; In-field cite and release,2021-05-12 9:43:00,1,
216,1761,5/13/2021 7:18,2021-05-12 14:55:00,3,FALSE,Magdalena,Foothill Expwy,1,Black/African American,,FALSE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60mph in a 45,Warning (verbal or written),2021-05-12 14:55:00,1,
217,1766,5/13/2021 9:19,2021-05-13 9:01:00,11,FALSE,Almond,Sunkist,1,Asian,,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,39mph in 15mph school zone with children present.,Citation for infraction,2021-05-13 9:01:00,1,
218,1769,5/13/2021 10:54,2021-05-13 10:41:00,9,FALSE,Grant,Foothill,1,White,,FALSE,65,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,66mph in a 45mph zone,Citation for infraction,2021-05-13 10:41:00,1,
219,1775,5/13/2021 15:42,2021-05-13 15:25:00,14,FALSE,Almond,Alicia,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction; Warning (verbal or written),2021-05-13 15:25:00,1,
220,1811,5/20/2021 14:52,2021-05-20 14:35:00,12,FALSE,Almond,Sunkist,1,Middle Eastern or South Asian,,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40mph in 25mph zone,Citation for infraction,2021-05-20 14:35:00,1,
221,1813,5/20/2021 15:25,2021-05-20 15:00:00,10,FALSE,Almond ave,N gordon,1,White,,FALSE,20,Transgender woman/girl,Yes,TRUE,,,,,,,Traffic Violation,Moving Violation,45 in 25mph zone,Warning (verbal or written),2021-05-20 15:00:00,1,
222,1857,5/27/2021 9:05,2021-05-27 8:53:00,9,FALSE,Covington,,1,White,,FALSE,18,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,44mph in 25mph zone,Citation for infraction,2021-05-27 8:53:00,1,
223,1859,5/27/2021 11:01,2021-05-27 10:49:00,12,FALSE,Fremont,,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-05-27 10:49:00,1,
224,1863,5/27/2021 13:02,2021-05-27 12:50:00,12,FALSE,Almond,,1,Asian,Speech impairment or limited use of language,TRUE,45,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-05-27 12:50:00,1,
225,1890,5/30/2021 8:07,2021-05-30 6:08:00,6,FALSE,miramonte,b st,1,White,,FALSE,60,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,70 mph on foothill,Warning (verbal or written),2021-05-30 6:08:00,2,"70, 45"
226,1915,6/1/2021 15:17,2021-06-01 15:07:00,10,FALSE,N. Gordon,Almond,1,Asian,Speech impairment or limited use of language,TRUE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction,2021-06-01 15:07:00,1,
227,1921,6/2/2021 8:13,2021-06-02 8:00:00,12,FALSE,Almond,Alicia,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,48mph in 25mph zone,Citation for infraction,2021-06-02 8:00:00,1,
228,1922,6/2/2021 8:24,2021-06-02 8:14:00,8,FALSE,Almond,Alicia,1,Middle Eastern or South Asian,,FALSE,45,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction,2021-06-02 8:14:00,1,
229,1923,6/2/2021 8:34,2021-06-02 8:18:00,12,FALSE,April ln,Grant rd,1,White,,FALSE,60,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in a 25,Citation for infraction,2021-06-02 8:18:00,1,
230,1924,6/2/2021 8:53,2021-06-02 8:38:00,10,FALSE,San Antonio Rd,Pine Ln,1,Middle Eastern or South Asian,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Observed driver in traffic lane 1 at visual speed of 50mph. Lidar confirmed 51 at 435’. Identified by license.,Citation for infraction,2021-06-02 8:38:00,2,"51, 35"
231,1925,6/2/2021 9:05,2021-06-02 8:56:00,8,FALSE,Almond,,1,White,,FALSE,18,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,48mph in 25mph zone,Citation for infraction,2021-06-02 8:56:00,1,
232,1929,6/2/2021 9:34,2021-06-02 9:18:00,10,FALSE,San Antonio Rd,Pine Ln,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation," Observed driver north on San Antonio Rd at visual speed of 50mph. Lidar confirmed 47, 49 and locked at 50 mph. Driver identified by license.",Citation for infraction,2021-06-02 9:18:00,2,"50,35"
233,1932,6/2/2021 9:57,2021-06-02 8:40:00,12,FALSE,San Antonio rd,Alverado,1,Asian,,FALSE,30,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,52 in 35mph zone,Citation for infraction,2021-06-02 8:40:00,1,
234,1933,6/2/2021 9:58,2021-06-02 9:57:00,12,FALSE,San Antonio rd,Alverado,1,White,,FALSE,18,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62 in 35mph zone,Citation for infraction,2021-06-02 9:57:00,1,
235,1937,6/2/2021 15:08,2021-06-02 15:00:00,8,FALSE,St. Joseph,Foothill Expwy,1,Hispanic/Latino(a),,FALSE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61mph in a 45,Citation for infraction,2021-06-02 15:00:00,1,
236,1958,6/7/2021 7:48,2021-06-07 7:44:00,3,FALSE,E. Portola,,1,White,,FALSE,18,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,39mph in 25mph zone,Warning (verbal or written),2021-06-07 7:44:00,1,
237,1959,6/7/2021 8:09,2021-06-07 8:04:00,3,FALSE,Merritt,,1,Hispanic/Latino(a),,FALSE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,38mph in 25mph zone,Warning (verbal or written),2021-06-07 8:04:00,1,
238,1964,6/7/2021 15:45,2021-06-07 15:33:00,7,FALSE,100,Avalon,1,Asian,Speech impairment or limited use of language,TRUE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41mph in 25mph zone,Citation for infraction,2021-06-07 15:33:00,1,
