,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
133,2233,7/21/2021 10:40,2021-07-21 10:28:00,10,FALSE,El Monte,University,1,Middle Eastern or South Asian,,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation," Right turn on red arrow.   3 red arrows, 3 no right on red signs",Citation for infraction,2021-07-21 10:28:00,3,
134,2235,7/21/2021 10:50,2021-07-21 10:30:00,10,FALSE,San Antonio Rd,Pine Lane,1,Asian,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Observed driver at high rate of speed (50) NB on San Antonio Rd. #1 lane. Lidar confirmed 52 @. 331’  Driver stopped and cited. Identified by CA license,Citation for infraction,2021-07-21 10:30:00,2,"52, 35"
135,2238,7/21/2021 11:21,2021-07-21 11:06:00,9,FALSE,El Monte,University,1,Middle Eastern or South Asian,,FALSE,30,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Right turn on red arrow.  3 red arrows.  3 no right on red signs,Citation for infraction,2021-07-21 11:06:00,3,
136,2239,7/21/2021 11:32,2021-07-21 11:00:00,10,FALSE,San Antonio Rd,Pine Ln,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Observed Driver at high rate of speed (50) NB San Antonio Rd. Lidar confirmed (51). Driver identified by CA license. Cited and released,Citation for infraction,2021-07-21 11:00:00,2,"51, 35"
137,2247,7/22/2021 11:51,2021-07-22 11:39:00,2,FALSE,Foothill,Springer,1,White,,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 in a 45,Warning (verbal or written),2021-07-22 11:39:00,1,
138,2250,7/22/2021 12:46,2021-07-22 11:10:00,32,FALSE,San Antonio Rd,Alvarado,1,White,,FALSE,28,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Observed driver NB San Antonio Rd at high rate of speed (visual 55),Citation for infraction; Warning (verbal or written),2021-07-22 11:10:00,2,"55, 35"
139,2267,7/26/2021 9:41,2021-07-26 9:29:00,3,FALSE,Arboretum,Foothill,1,White,,FALSE,65,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 in a 45,Warning (verbal or written),2021-07-26 9:29:00,1,
140,2272,7/26/2021 20:09,2021-07-26 20:06:00,5,FALSE,Almond Ave,,1,Middle Eastern or South Asian,,FALSE,18,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Unsafe speed in 25 zone,Warning (verbal or written),2021-07-26 20:06:00,3,
141,2278,7/28/2021 8:23,2021-07-28 8:12:00,10,FALSE,El monte,University,1,Asian,,FALSE,35,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Right turn on red; 3 red arrows 3 no right on red signs,Citation for infraction,2021-07-28 8:12:00,3,
142,2281,7/28/2021 8:51,2021-07-28 8:38:00,9,FALSE,El Monte,Milverton,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Right turn on red; 3 red arrows 3 no right on red signs,Citation for infraction,2021-07-28 8:38:00,3,
